Execution_Timestamp,Target_Account,SAR_Confidence_Score,Frictional_Analysis,Temporal_Analysis,Justification,Model_Name
2026-05-26 18:18:59.417088,ACC_UTURN_ANCHOR_13,90,"The Principal Value Retention (PVR) of 0.9234 indicates a high retention rate, which falls within the critical risk range (0.85-0.95) as per the scoring rubric.","The Multi-hop Velocity Ratio (MVR) of 0.4444 suggests an intense programmatic burst, as it is below the typical range, further supporting the critical risk classification.","The provided financial transaction trace shows a complex network journey with a high PVR and an MVR indicative of an intense programmatic burst. Additionally, the account identity context flags the entity as being associated with offshore activities, further increasing the risk level. Therefore, based on the mathematical evidence and contextual information, a SAR_Confidence_Score of 90 (Critical Risk) is justified.",mistral
2026-05-26 18:20:15.13745,ACC_UTURN_ANCHOR_15,90,"The Principal Value Retention (PVR) of 0.9305 indicates a high retention of principal amount, which falls within the critical risk rubric range of 0.85-0.95.","The Multi-hop Velocity Ratio (MVR) of 0.5 suggests a moderate programmatic burst, as it is below the critical risk threshold of intense programmatic burst. However, it is still a factor contributing to the high risk score.","The high Principal Value Retention (PVR) and moderate MVR, combined with the account identity context flagged as high-risk/offshore, indicate a significant risk of money laundering or illicit activities. The entity's known utilization of complex holding structures further supports this conclusion.",mistral
2026-05-26 18:21:32.502407,ACC_UTURN_ANCHOR_16,90,"The Principal Value Retention (PVR) of 0.9312 indicates a high retention of principal value, which falls within the critical risk range (0.85-0.95) as per the scoring rubric.","The Multi-hop Velocity Ratio (MVR) of 0.4444 suggests an intense programmatic burst, as it is below the threshold of 0.5, further supporting the critical risk classification.","The provided financial transaction trace exhibits a high retention of principal value and an intense programmatic burst, with the target account being associated with an entity flagged in offshore leak databases. These factors collectively justify the classification of critical risk according to the scoring rubric and regulatory compliance structures (MRM SR 11-7).",mistral
2026-05-26 18:22:45.840571,ACC_UTURN_ANCHOR_17,90,"The Principal Value Retention (PVR) of 0.9316 indicates a high retention of principal value, which falls within the critical risk rubric range of 0.85-0.95.","The Multi-hop Velocity Ratio (MVR) of 0.4 suggests an intense programmatic burst, as it is below the typical range, further supporting the critical risk classification.","The provided financial transaction trace shows a complex network journey with a high PVR and an MVR indicative of an intense programmatic burst. Additionally, the account identity context flags the entity as being in offshore leak databases and utilizing complex holding structures, further supporting the critical risk classification.",mistral
2026-05-26 18:23:58.702468,ACC_UTURN_ANCHOR_18,90,"The Principal Value Retention (PVR) of 0.9496 indicates a high retention of principal amount, which falls within the critical risk range (0.85-0.95) as per the scoring rubric.","The Multi-hop Velocity Ratio (MVR) of 0.4 suggests a moderate programmatic burst, contributing to the high risk classification.","The financial transaction trace exhibits a cycle topology with a high PVR and moderate MVR, while the account identity context indicates an entity flagged in offshore leak databases. Given these factors, the transaction is classified as a potential high-risk activity.",mistral
2026-05-26 18:25:16.966251,ACC_UTURN_ANCHOR_19,90,"The Principal Value Retention (PVR) of 0.9175 indicates a high retention of principal value, which falls within the critical risk range (0.85-0.95) as per the scoring rubric.","The Multi-hop Velocity Ratio (MVR) of 0.4 suggests an intense programmatic burst, as it is below the threshold of 0.5, further supporting the high-risk classification.","The provided financial transaction trace exhibits a cycle topology with a high PVR and MVR, indicating potential money laundering activity. Additionally, the account identity context shows the entity is flagged in offshore leak databases and known to utilize complex holding structures, further supporting the high-risk classification.",mistral
2026-05-26 18:26:27.794645,ACC_UTURN_ANCHOR_20,90,"The Principal Value Retention (PVR) of 0.9183 indicates a high retention rate, which falls within the critical risk range (0.85-0.95).","The Multi-hop Velocity Ratio (MVR) of 0.4444 suggests a moderate programmatic burst, contributing to the critical risk score.","The provided financial transaction trace shows a complex network journey with a high PVR and moderate MVR, indicating potential money laundering activity. The account identity context flagged in offshore leak databases further supports this high-risk classification.",mistral
2026-05-26 18:27:41.382759,ACC_UTURN_ANCHOR_21,95,"The Principal Value Retention (PVR) of 0.9166 indicates a high retention of principal amount, falling within the critical risk range of 0.85-0.95.","The Multi-hop Velocity Ratio (MVR) of 0.5714 suggests an intense programmatic burst, as it is significantly lower than the typical MVR, which is usually closer to 1.","The provided financial transaction trace shows a complex network journey with a high PVR and a low MVR, indicating a potential money laundering activity. Additionally, the account identity context flagged in offshore leak databases and known to utilize complex holding structures further supports this high-risk classification.",mistral
2026-05-26 18:29:00.409823,ACC_UTURN_ANCHOR_22,92,"The Principal Value Retention (PVR) of 0.9267 indicates a high retention of principal amount, which is within the critical risk range (0.85-0.95) as per the provided rubric.","The Multi-hop Velocity Ratio (MVR) of 0.6667 suggests a moderate programmatic burst, but not intense as per the rubric.","The Target Account ACC_UTURN_ANCHOR_22 is associated with a complex holding structure and has been flagged in offshore leak databases, which aligns with the criteria for a critical risk score (90-100) as per the provided rubric. However, the MVR is not intense as per the rubric, which slightly reduces the risk level. A thorough investigation is recommended to confirm the risk level.",mistral
2026-05-26 18:30:15.771444,ACC_UTURN_ANCHOR_23,90,"The Principal Value Retention (PVR) of 0.9481 falls within the critical risk range of 0.85-0.95, indicating minimal capital loss during the transaction path.","The Multi-hop Velocity Ratio (MVR) of 0.4444 suggests an intense programmatic burst, as it is significantly lower than the typical MVR, indicating a high volume of transactions in a short period.","The provided financial transaction trace exhibits a high PVR and a low MVR, both indicative of a structured, high-risk financial operation. Additionally, the account identity context flags the entity as being associated with offshore leak databases and complex holding structures, further supporting the classification of critical risk.",mistral
2026-05-26 18:31:30.250079,ACC_UTURN_ANCHOR_24,91,"The Principal Value Retention (PVR) of 0.9119 indicates a high retention of principal amount, which falls within the critical risk rubric range of 0.85-0.95.","The Multi-hop Velocity Ratio (MVR) of 0.5714 suggests a moderate programmatic burst, but not intense as required for the critical risk score.","The high PVR and moderate MVR, combined with the account identity context flagged as an entity known to utilize complex holding structures and associated with offshore leak databases, indicate a high risk of money laundering activity. Therefore, a SAR_Confidence_Score of 91 is assigned.",mistral
